"Scenario_02_(2,2,0): MCU1(O1:ON, O2:OFF); MCU2(O1:ON, O2:OFF); MCU3(OFF); MCU4(OFF)"
Step,Time,Event,Outputs Ops,Relays Ops,M1.O1,M1.O2,M1.R1,M1.R2,M1.R3,M1.R4,M1.EV1 Available Power,M1.EV1 Max Require Power,M1.EV1 SOC,M1.EV2 Available Power,M1.EV2 Max Require Power,M1.EV2 SOC,M2.O1,M2.O2,M2.R1,M2.R2,M2.R3,M2.R4,M2.EV1 Available Power,M2.EV1 Max Require Power,M2.EV1 SOC,M2.EV2 Available Power,M2.EV2 Max Require Power,M2.EV2 SOC,M3.O1,M3.O2,M3.R1,M3.R2,M3.R3,M3.R4,M3.EV1 Available Power,M3.EV1 Max Require Power,M3.EV1 SOC,M3.EV2 Available Power,M3.EV2 Max Require Power,M3.EV2 SOC,M4.O1,M4.O2,M4.R1,M4.R2,M4.R3,M4.R4,M4.EV1 Available Power,M4.EV1 Max Require Power,M4.EV1 SOC,M4.EV2 Available Power,M4.EV2 Max Require Power,M4.EV2 SOC
49,T49: 00:49,-,-,-,ON,OFF,OFF,ON,ON,ON,300kW,275kW,22.9%,-,-,-,ON,OFF,OFF,ON,ON,ON,300kW,275kW,22.9%,-,-,-,OFF,OFF,ON,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
50,T50: 00:50,-,-,-,ON,OFF,OFF,ON,ON,ON,300kW,275kW,23.0%,-,-,-,ON,OFF,OFF,ON,ON,ON,300kW,275kW,23.0%,-,-,-,OFF,OFF,ON,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
51,T51: 00:51,-,-,-,ON,OFF,OFF,ON,ON,ON,300kW,275kW,23.0%,-,-,-,ON,OFF,OFF,ON,ON,ON,300kW,275kW,23.0%,-,-,-,OFF,OFF,ON,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
52,T52: 00:52,-,-,-,ON,OFF,OFF,ON,ON,ON,300kW,273kW,23.1%,-,-,-,ON,OFF,OFF,ON,ON,ON,300kW,273kW,23.1%,-,-,-,OFF,OFF,ON,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
53,T53: 00:53,-,-,-,ON,OFF,OFF,ON,ON,ON,300kW,272kW,23.1%,-,-,-,ON,OFF,OFF,ON,ON,ON,300kW,272kW,23.1%,-,-,-,OFF,OFF,ON,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
54,T54: 00:54,-,-,-,ON,OFF,OFF,ON,ON,ON,300kW,271kW,23.2%,-,-,-,ON,OFF,OFF,ON,ON,ON,300kW,271kW,23.2%,-,-,-,OFF,OFF,ON,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
55,T55: 00:55,-,-,-,ON,OFF,OFF,ON,ON,ON,300kW,269kW,23.3%,-,-,-,ON,OFF,OFF,ON,ON,ON,300kW,269kW,23.3%,-,-,-,OFF,OFF,ON,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
56,T56: 00:56,-,-,-,ON,OFF,OFF,ON,ON,ON,300kW,268kW,23.3%,-,-,-,ON,OFF,OFF,ON,ON,ON,300kW,268kW,23.3%,-,-,-,OFF,OFF,ON,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
57,T57: 00:57,-,-,-,ON,OFF,OFF,ON,ON,ON,300kW,267kW,23.4%,-,-,-,ON,OFF,OFF,ON,ON,ON,300kW,267kW,23.4%,-,-,-,OFF,OFF,ON,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
58,T58: 00:58,-,-,-,ON,OFF,OFF,ON,ON,ON,300kW,266kW,23.4%,-,-,-,ON,OFF,OFF,ON,ON,ON,300kW,266kW,23.4%,-,-,-,OFF,OFF,ON,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
59,T59: 00:59,-,-,-,ON,OFF,OFF,ON,ON,ON,300kW,264kW,23.5%,-,-,-,ON,OFF,OFF,ON,ON,ON,300kW,264kW,23.5%,-,-,-,OFF,OFF,ON,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
60,T60: 01:00,-,-,-,ON,OFF,OFF,ON,ON,ON,300kW,263kW,23.6%,-,-,-,ON,OFF,OFF,ON,ON,ON,300kW,263kW,23.6%,-,-,-,OFF,OFF,ON,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
61,T61: 01:01,-,-,-,ON,OFF,OFF,ON,ON,ON,300kW,262kW,23.6%,-,-,-,ON,OFF,OFF,ON,ON,ON,300kW,262kW,23.6%,-,-,-,OFF,OFF,ON,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
62,T62: 01:02,-,-,-,ON,OFF,OFF,ON,ON,ON,300kW,261kW,23.7%,-,-,-,ON,OFF,OFF,ON,ON,ON,300kW,261kW,23.7%,-,-,-,OFF,OFF,ON,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
63,T63: 01:03,-,-,-,ON,OFF,OFF,ON,ON,ON,300kW,259kW,23.7%,-,-,-,ON,OFF,OFF,ON,ON,ON,300kW,259kW,23.7%,-,-,-,OFF,OFF,ON,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
64,T64: 01:04,-,-,-,ON,OFF,OFF,ON,ON,ON,300kW,258kW,23.8%,-,-,-,ON,OFF,OFF,ON,ON,ON,300kW,258kW,23.8%,-,-,-,OFF,OFF,ON,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
65,T65: 01:05,-,-,-,ON,OFF,OFF,ON,ON,ON,300kW,257kW,23.9%,-,-,-,ON,OFF,OFF,ON,ON,ON,300kW,257kW,23.9%,-,-,-,OFF,OFF,ON,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
66,T66: 01:06,-,-,-,ON,OFF,OFF,ON,ON,ON,300kW,256kW,23.9%,-,-,-,ON,OFF,OFF,ON,ON,ON,300kW,256kW,23.9%,-,-,-,OFF,OFF,ON,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
67,T67: 01:07,-,-,-,ON,OFF,OFF,ON,ON,ON,300kW,254kW,24.0%,-,-,-,ON,OFF,OFF,ON,ON,ON,300kW,254kW,24.0%,-,-,-,OFF,OFF,ON,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
68,T68: 01:08,-,-,-,ON,OFF,OFF,ON,ON,ON,300kW,254kW,24.0%,-,-,-,ON,OFF,OFF,ON,ON,ON,300kW,254kW,24.0%,-,-,-,OFF,OFF,ON,OFF,OFF,OFF,-,-,-,-,-,-,OFF,OFF,OFF,OFF,OFF,OFF,-,-,-,-,-,-
